address,region
"G/F, Three Garden Road",Central and Western
"Shop B, G/F, China Insurance Building, 141 Des Voeux Road Central",Central and Western
"G/F, Wheelock House, 20 Pedder Street",Central and Western
"10/F, Wheelock House, 20 Pedder Street",Central and Western
"Shop No. 1105A-B, 1/F,  IFC Mall, 8 Finance Street",Central and Western
"Lower Ground Floor, The Westwood of The Belcher's, 8 Belcher's Street, Sai Wan",Central and Western
Happy Valley Racecourse (HVRC) Public Entrance,Admiralty
"G/F, Yue Hing Building, 101-105 Hennessy Road",Happy Valley
"Shop A & B, G/F, Hong Chiang Building, No. 141-147 Johnston Road",Happy Valley
"LG 1, AIA Building, 1 Stubbs Road",Wanchai
"Wellable Commercial Building, 513-517 Hennessy Road",Wanchai
"Fortress Tower, 250 King's Road",Wanchai
"Shop G13 & P27 Fu Shan Mansion, 25 TaiKoo Shing Road",Wanchai
"Unit 109A, Marina Square West Commercial Block, South Horizon, Ap Lei Chau",Causeway Bay
72 Nathan Road,Tsim Sha Tsui
"Shop 365A, Level 3, Ocean Centre, Harbour City",Tsim Sha Tsui
"Shop 5 - 7, G/F, 238 Nathan Road",Hunghom
"Shop 106, G/F, Bijou Apartments, 157 Prince Edward Road West",Jordan
"Suite 301A Level 3 Festival Walk Tower, 80 Tat Chee Avenue",Mongkok
"1/F, Manulife Tower, One Bay East, 83 Hoi Bun Road",Mongkok
"1/F, Retail Area, Citi Tower, One Bay East, 83 Hoi Bun Road",Kowloon Tong
"Unit 3, G/F, Camel Paint Building, Block 3, 60 Hoi Yuen Road",Kowloon Tong
"G/F, 10-12 Chung On Street",Tsuen Wan
"Shop G16 on G/F, Citywalk 2,18 Yeung Uk Road",Tsuen Wan
"Area A, G/F of Main Entrance, Blossom Garden Shopping Centre, 11 Leung Tak Street",Kwai Chung
"Shop Nos. 101-102 on Level 1 and Shop No. 201 on Level 2, K-Point, 1 Tuen Lung Street",Tuen Mun
"G/F, 126-128 Yuen Long Main Road",Tuen Mun
"Shop 7, G/F, Shatin Plaza",Tuen Mun
Sha Tin Racecourse (STRC) 1/F Link Building,Yuen Long
Sha Tin Racecourse (STRC) 2/F Members Enclosure,Shatin
1 On Ping Street,Shatin
"Shop Nos. 3021-25 on Level 3, Sunshine City Plaza",Shatin
"ATM No. 2, First Floor, PopCorn, 9 Tong Yin Street",Shatin
"G/F, Metro Town, 8 King Ling Road, Tiu King Leng",Shatin
"Unit 7E112A, Level 7, Departures Boarding Level North Hall (Restricted Area), Terminal 1, Hong Kong International Airport",Airport
"Unit 5T030B, Level 5,  Arrivals Hall A  (Non-restricted Area), Terminal 1, Hong Kong International Airport",Airport
